INSTNM,Latitude,Longitude,ZIP,,,
University of the Pacific,37.9798869,-121.3128577,95211-0197,,,
University of South Florida,28.0587031,-82.4138539,33620-9951,,,
Marist College,41.7231052,-73.9344876,12601,,,
Texas Tech University,33.5845522,-101.8746483,79409-5005,,,
Iowa State University,42.0266573,-93.6464516,50011-2103,,,
University of California-Santa Barbara,34.4139629,-119.848947,93106,,,
Milwaukee School of Engineering,43.045115,-87.9080071,53202-3109,,,
The University of Texas at Dallas,32.7766642,-96.7969879,75080-3021,,,
University of Dayton,39.7401454,-84.1790445,45469,,,
Chamberlain University-Arizona,34.0489281,-111.0937311,85021,,,
University of Southern California,34.0223519,-118.285117,90089,,,
San Diego State University,32.7774047,-117.0714068,92182-0001,,,
Oregon State University,44.5637806,-123.2794442,97331,,,
Rensselaer at Hartford,41.7733194,-72.6739422,6120,,,
Miami Dade College,25.7767289,-80.1929987,33132-2204,,,
Lone Star College System,29.868389,-95.4665258,77381-4399,,,
Dominican University of California,37.9800025,-122.5131501,94901-2298,,,
University of North Carolina at Chapel Hill,35.9049122,-79.0469134,27599,,,
Northern Virginia Community College,38.8332102,-77.2365466,22003-3796,,,
Duquesne University,40.4369485,-79.9902576,15282,,,
Dallas College,32.7766642,-96.7969879,75215-3604,,,
Colorado State University-Fort Collins,40.5729432,-105.0848391,80523-0100,,,
United States Merchant Marine Academy,40.8129628,-73.7625503,11024-1634,,,
Cochran School of Nursing,40.9688196,-73.8864694,10701,,,
Upstate Medical University,43.0421295,-76.139862,13210,,,
University of Scranton,41.406562,-75.6577868,18510-4699,,,
Saint Louis University,38.6348237,-90.2336408,63103-2097,,,
Marshall B Ketchum University,33.8893834,-117.8861555,92831-1699,,,
Washington University in St Louis,38.6487895,-90.3107962,63130-4899,,,
Miami Ad School-San Francisco,37.7951537,-122.4012265,94111,,,
University of Cincinnati-Main Campus,39.1329219,-84.5149504,45221-0063,,,
University of St Thomas,44.943096,-93.1897082,55105-1078,,,
Charles R Drew University of Medicine and Science,33.9256333,-118.242526,90059,,,
Chamberlain University-Ohio,40.0541954,-82.9123672,43219,,,
Rush University,41.8734416,-87.6689797,60612,,,
Loyola University Chicago,41.9983568,-87.6569374,60660,,,
California State University-Fullerton,33.8823476,-117.8851033,92831-3599,,,
Brandeis University,42.3653569,-71.2586441,02454-9110,,,
Chamberlain University-Missouri,38.9403808,-92.3277375,63146,,,
Salve Regina University,41.4728515,-71.3018716,02840-4192,,,
Michigan State University,42.7250725,-84.4790827,48824-1046,,,
Seton Hall University,40.7430841,-74.246082,07079-2697,,,
Walden University,44.9811267,-93.2655624,55401,,,
Union College,42.819091,-73.9283841,12308-2311,,,
